"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.847792167E0,3.189157295E1,-3.677680969E0,-5.069140625E1,6.000180356E1
1.857836167E0,3.175806618E1,-3.601730347E0,-5.077679443E1,5.999858400E1
1.867880167E0,3.171604347E1,-3.186973572E0,-5.039868164E1,5.963297180E1
1.877923167E0,3.154629326E1,-3.413436890E0,-5.056243896E1,5.969405669E1
1.887967166E0,3.143543053E1,-3.327415466E0,-5.025378418E1,5.936919075E1
1.898010167E0,3.162593269E1,-3.187080383E0,-5.054205322E1,5.970641711E1
1.908054166E0,3.144833946E1,-3.199523926E0,-5.109857178E1,6.008576409E1
1.918098167E0,3.142931938E1,-2.967475891E0,-5.057446289E1,5.961865754E1
1.928141166E0,3.114201164E1,-3.192771912E0,-5.106164551E1,5.989415934E1
1.938185167E0,3.117874336E1,-3.280426025E0,-5.095568848E1,5.982773120E1
1.948229167E0,3.101909447E1,-3.156982422E0,-5.059045410E1,5.942680208E1
1.958272167E0,3.091388893E1,-3.504516602E0,-5.102441406E1,5.976153442E1
1.968316167E0,3.091388893E1,-3.504516602E0,-5.102441406E1,5.976153442E1
1.978360167E0,3.108116722E1,-3.426284790E0,-5.076361084E1,5.962149418E1
1.988403167E0,3.100098228E1,-3.492675781E0,-5.111383057E1,5.988224580E1
1.998447167E0,3.097573662E1,-3.687507629E0,-5.115539551E1,5.991634553E1
2.008490167E0,3.099219704E1,-3.237663269E0,-5.058703613E1,5.941419835E1
2.018534167E0,3.087321281E1,-3.420677185E0,-5.094671631E1,5.966929030E1
2.028578167E0,3.094628334E1,-3.582756042E0,-5.097253418E1,5.973866281E1
2.038621167E0,3.110593987E1,-3.615203857E0,-5.084533691E1,5.971513610E1
2.048665167E0,3.115099907E1,-3.909904480E0,-5.127069092E1,6.011951300E1
2.058709166E0,3.124795341E1,-3.999420166E0,-5.053887939E1,5.955340700E1
2.068752167E0,3.136628914E1,-4.201423645E0,-5.092175293E1,5.995432408E1
2.078796166E0,3.144325066E1,-4.379478455E0,-5.060968018E1,5.974276166E1
2.088839167E0,3.137923622E1,-4.490829468E0,-5.030572510E1,5.945998648E1
2.098883166E0,3.143964195E1,-4.835861206E0,-5.066540527E1,5.982323906E1
2.108927167E0,3.151933861E1,-5.124351501E0,-5.035174561E1,5.962403853E1
2.118970166E0,3.148407936E1,-5.329765320E0,-5.058013916E1,5.981642023E1
2.129014167E0,3.164324379E1,-5.556739807E0,-5.044879150E1,5.981013960E1
2.139058167E0,3.175173378E1,-5.417793274E0,-4.993646240E1,5.942369358E1
2.149101167E0,3.192647362E1,-5.742149353E0,-5.034552002E1,5.989109602E1
2.159145167E0,3.201245880E1,-5.817337036E0,-5.030932617E1,5.991383170E1
2.169188167E0,3.208777618E1,-6.080703735E0,-5.026367188E1,5.994194732E1
2.179232167E0,3.206967545E1,-6.115844727E0,-5.038085938E1,6.003414554E1
2.189276167E0,3.205677414E1,-6.282562256E0,-4.992327881E1,5.966105198E1
2.199319167E0,3.188256073E1,-6.925811768E0,-5.044030762E1,6.007236619E1
2.209363167E0,3.198754883E1,-7.069664001E0,-5.019879150E1,5.994248992E1
2.219407167E0,3.217964172E1,-7.044509888E0,-5.004119873E1,5.991056694E1
2.229450167E0,3.195101929E1,-7.571548462E0,-5.034936523E1,6.011035318E1
2.239494167E0,3.212431335E1,-7.775695801E0,-5.008996582E1,6.001197905E1
2.249539958E0,3.215283966E1,-8.057800293E0,-5.013916016E1,6.010547916E1
2.259583958E0,3.217209625E1,-8.270133972E0,-5.030499268E1,6.028292612E1
2.269627959E0,3.239218140E1,-8.301490784E0,-4.961779785E1,5.983388696E1
2.279670958E0,3.253483582E1,-8.772903442E0,-4.998840332E1,6.028532029E1
2.289714959E0,3.256272888E1,-8.865440369E0,-4.963610840E1,6.002225089E1
2.299758958E0,3.245874023E1,-9.197677612E0,-4.948669434E1,5.989240359E1
2.309801959E0,3.233732605E1,-9.785568237E0,-5.011566162E1,6.044038006E1
2.319845958E0,3.273448563E1,-9.935081482E0,-4.955291748E1,6.021415136E1
2.329888958E0,3.268331909E1,-1.042050934E1,-4.995178223E1,6.059675659E1
2.339932958E0,3.273758316E1,-1.085474396E1,-4.963684082E1,6.044328568E1
2.349976958E0,3.265317917E1,-1.118740463E1,-4.927423096E1,6.016093391E1
2.360019958E0,3.176791382E1,-1.204980850E1,-4.995898438E1,6.041769901E1
2.370063958E0,3.200955200E1,-1.206223297E1,-4.940502930E1,6.009131221E1
2.380107958E0,3.168104935E1,-1.271810913E1,-4.972155762E1,6.031312029E1
2.390150958E0,3.157447815E1,-1.338627243E1,-4.965612793E1,6.034791629E1
2.400194958E0,3.193255806E1,-1.348253250E1,-4.905645752E1,6.006665440E1
2.410238958E0,3.207997131E1,-1.413653564E1,-4.932098389E1,6.051054165E1
2.420281958E0,3.211499023E1,-1.455904388E1,-4.901928711E1,6.038401167E1
2.430325958E0,3.232272339E1,-1.511219025E1,-4.929376221E1,6.085237657E1
2.440368958E0,3.187677574E1,-1.554937744E1,-4.910247803E1,6.057198460E1
2.450412958E0,3.187677574E1,-1.554937744E1,-4.910247803E1,6.057198460E1
2.460456959E0,3.214028168E1,-1.578392410E1,-4.845819092E1,6.025218862E1
2.470499958E0,3.207051086E1,-1.659440613E1,-4.893750000E1,6.081752123E1
2.480543958E0,3.146573067E1,-1.647522736E1,-4.831347656E1,5.996430055E1
2.490586958E0,3.126981163E1,-1.701371765E1,-4.819989014E1,5.992075698E1
2.500630958E0,3.096609306E1,-1.788745499E1,-4.861865234E1,6.035423201E1
2.510674958E0,3.115458107E1,-1.793338776E1,-4.805572510E1,6.001305719E1
2.520717958E0,3.177322578E1,-1.875311661E1,-4.837164307E1,6.083611684E1
2.530761958E0,3.176423073E1,-1.920634460E1,-4.838800049E1,6.098564272E1
2.540805958E0,3.208563232E1,-1.931940079E1,-4.766302490E1,6.061757989E1
2.550848959E0,3.207510376E1,-1.973840714E1,-4.766351318E1,6.074724262E1
2.560892958E0,3.195695877E1,-2.009358215E1,-4.759338379E1,6.074643560E1
2.570936958E0,3.170912933E1,-2.055529022E1,-4.735345459E1,6.058331867E1
2.580979958E0,3.155560303E1,-2.106161880E1,-4.750897217E1,6.079843999E1
2.591023958E0,3.151736450E1,-2.138949585E1,-4.698535156E1,6.048535409E1
2.601066958E0,3.143087959E1,-2.197746658E1,-4.733422852E1,6.092157597E1
2.611110958E0,3.142609978E1,-2.238583755E1,-4.694995117E1,6.077025082E1
2.621154958E0,3.138921928E1,-2.251924515E1,-4.684375000E1,6.071850133E1
2.631197958E0,3.119570732E1,-2.310446548E1,-4.702825928E1,6.098069901E1
2.641241958E0,3.086496544E1,-2.303086853E1,-4.669573975E1,6.052734182E1
2.651284958E0,3.053880501E1,-2.355850983E1,-4.720001221E1,6.095459908E1
2.661328958E0,3.048214149E1,-2.407260895E1,-4.679278564E1,6.081296112E1
2.671372958E0,3.033141136E1,-2.430541611E1,-4.663067627E1,6.070558242E1
2.681415958E0,2.994961357E1,-2.511651611E1,-4.698010254E1,6.111422723E1
2.691459958E0,3.035349655E1,-2.558007431E1,-4.648632812E1,6.112817400E1
2.701503959E0,2.997538757E1,-2.591784668E1,-4.652764893E1,6.111530701E1
2.711546958E0,2.955251503E1,-2.646097565E1,-4.670373535E1,6.127620478E1
2.721590959E0,2.938546944E1,-2.684004974E1,-4.642675781E1,6.115012613E1
2.731633958E0,2.927393913E1,-2.744810867E1,-4.653125000E1,6.144525538E1
2.741677959E0,2.913762093E1,-2.777989578E1,-4.630114746E1,6.135568286E1
2.751721958E0,2.932281113E1,-2.790421677E1,-4.597235107E1,6.125299690E1
2.761764959E0,2.918583679E1,-2.866151047E1,-4.656127930E1,6.197780233E1
2.771808958E0,2.883422852E1,-2.872232056E1,-4.608868408E1,6.148618733E1
2.781852958E0,2.848176956E1,-2.931591415E1,-4.635919189E1,6.180460091E1
2.791895958E0,2.818617249E1,-2.974383545E1,-4.644409180E1,6.193714337E1
2.801939958E0,2.807983398E1,-2.972805023E1,-4.598760986E1,6.153937202E1
2.811982958E0,2.740202332E1,-3.011886215E1,-4.617102051E1,6.156118805E1
2.822026958E0,2.698660660E1,-3.029474258E1,-4.578863525E1,6.117718106E1
2.832070958E0,2.645723724E1,-3.076241302E1,-4.627624512E1,6.154512426E1
2.842113958E0,2.642115784E1,-3.098489761E1,-4.621032715E1,6.159168610E1
2.852157958E0,2.595446205E1,-3.124658203E1,-4.582263184E1,6.123476608E1
2.862201958E0,2.548314476E1,-3.181084442E1,-4.615167236E1,6.157351177E1
2.872244958E0,2.526581383E1,-3.213535690E1,-4.616906738E1,6.166543030E1
2.882288958E0,2.510742760E1,-3.218059158E1,-4.606768799E1,6.154839780E1
2.892331958E0,2.488241386E1,-3.257738495E1,-4.657757568E1,6.204749057E1
2.902375958E0,2.480050468E1,-3.252065277E1,-4.624627686E1,6.173634272E1
2.912419959E0,2.426829720E1,-3.328466415E1,-4.690417480E1,6.242452027E1
2.922462958E0,2.367394447E1,-3.354298401E1,-4.687524414E1,6.231272692E1
2.932506958E0,2.343689728E1,-3.351793671E1,-4.653790283E1,6.195576353E1
2.942550958E0,2.343689728E1,-3.351793671E1,-4.653790283E1,6.195576353E1
2.952593958E0,2.262116241E1,-3.409907532E1,-4.724157715E1,6.249984430E1
2.962637958E0,2.194334030E1,-3.446289825E1,-4.726837158E1,6.247800006E1
2.972680958E0,2.120450592E1,-3.459182358E1,-4.755169678E1,6.250911291E1
2.982724958E0,2.052722168E1,-3.493788147E1,-4.782812500E1,6.268613828E1
2.992768958E0,2.036920547E1,-3.479491043E1,-4.728991699E1,6.214440098E1
3.002811959E0,1.960567474E1,-3.523665237E1,-4.788909912E1,6.260487175E1
3.012855958E0,1.907826996E1,-3.548664474E1,-4.775891113E1,6.248356530E1
3.022899958E0,1.864071655E1,-3.546136475E1,-4.756158447E1,6.218592301E1
3.032942958E0,1.827521706E1,-3.558643341E1,-4.797631836E1,6.246683060E1
3.042986958E0,1.820377922E1,-3.520674896E1,-4.773034668E1,6.204094410E1
