"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.179006292E0,9.397150040E0,-4.024791718E1,-2.681646729E1,4.926788187E1
2.189049291E0,9.798471451E0,-4.042882156E1,-2.616003418E1,4.914109323E1
2.199092292E0,1.035807419E1,-4.046404648E1,-2.621105957E1,4.931174710E1
2.209135292E0,1.061307907E1,-4.049914551E1,-2.616949463E1,4.937267142E1
2.219178292E0,1.091224670E1,-4.048601532E1,-2.605407715E1,4.936607642E1
2.229222292E0,1.115163803E1,-4.024571609E1,-2.641705322E1,4.941596296E1
2.239265291E0,1.127096558E1,-4.013684845E1,-2.621728516E1,4.924781528E1
2.249308292E0,1.107429504E1,-3.997490311E1,-2.695495605E1,4.946920805E1
2.259351292E0,1.118835831E1,-3.979120636E1,-2.717150879E1,4.946524391E1
2.269394292E0,1.118322754E1,-3.955251312E1,-2.715802002E1,4.926483456E1
2.279437291E0,1.129829407E1,-3.954557419E1,-2.736895752E1,4.940206192E1
2.289480292E0,1.123082352E1,-3.938951111E1,-2.739166260E1,4.927441691E1
2.299523292E0,1.130445099E1,-3.927667236E1,-2.751824951E1,4.927171258E1
2.309566292E0,1.148358917E1,-3.940671539E1,-2.803057861E1,4.970387687E1
2.319609292E0,1.152162933E1,-3.949304581E1,-2.768988037E1,4.959010067E1
2.329652292E0,1.179277802E1,-3.954888916E1,-2.812054443E1,4.993945601E1
2.339695292E0,1.212184906E1,-3.973003006E1,-2.786090088E1,5.001644041E1
2.349739292E0,1.219086838E1,-3.974338913E1,-2.748156738E1,4.983363119E1
2.359782292E0,1.197533798E1,-3.962847900E1,-2.772308350E1,4.982363321E1
2.369825291E0,1.221771240E1,-3.968810272E1,-2.732434082E1,4.970953224E1
2.379868292E0,1.219578171E1,-3.927510071E1,-2.876232910E1,5.018507948E1
2.389907416E0,1.214078140E1,-3.920325089E1,-2.876422119E1,5.011660278E1
2.399950417E0,1.184040451E1,-3.909913254E1,-2.842187500E1,4.976685968E1
2.409993417E0,1.192864227E1,-3.890191650E1,-2.909588623E1,5.002221716E1
2.420036417E0,1.192360687E1,-3.887016296E1,-2.894421387E1,4.990821061E1
2.430079417E0,1.209342575E1,-3.860075760E1,-2.950836182E1,5.007007940E1
2.440122417E0,1.211439896E1,-3.864421082E1,-2.966192627E1,5.019923866E1
2.450165417E0,1.224248886E1,-3.865158844E1,-2.906835938E1,4.988780752E1
2.460209417E0,1.165591431E1,-3.844598389E1,-2.965972900E1,4.993649507E1
2.470252417E0,1.170098495E1,-3.851998520E1,-2.936645508E1,4.983062304E1
2.480295416E0,1.186365891E1,-3.837875748E1,-2.927648926E1,4.970702417E1
