"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.711935125E0,1.271433830E1,-8.050491333E0,-4.039764404E1,4.310956336E1
1.721979125E0,1.252871895E1,-8.062751770E0,-3.987316895E1,4.256578868E1
1.732023125E0,1.279686356E1,-8.087219238E0,-4.012695312E1,4.288747135E1
1.742067125E0,1.271091461E1,-8.101249695E0,-4.005737305E1,4.279942444E1
1.752112125E0,1.276701164E1,-8.162551880E0,-3.986749268E1,4.265021467E1
1.762156125E0,1.285531616E1,-8.086524963E0,-4.025012207E1,4.302003448E1
1.772200125E0,1.286084366E1,-8.065803528E0,-4.001934814E1,4.280194753E1
1.782245125E0,1.293980026E1,-8.020484924E0,-4.024365234E1,4.302694694E1
1.792289125E0,1.309770966E1,-8.102020264E0,-4.031427002E1,4.315591614E1
1.802333125E0,1.313219833E1,-8.220336914E0,-4.001623535E1,4.291069405E1
1.812378125E0,1.318688965E1,-8.252136230E0,-4.033715820E1,4.323283640E1
1.822422125E0,1.313224411E1,-8.238990784E0,-3.998297119E1,4.288326935E1
1.832466125E0,1.311766434E1,-8.220397949E0,-4.023083496E1,4.310647448E1
1.842510125E0,1.318303680E1,-8.219482422E0,-4.041265869E1,4.329590435E1
1.852555125E0,1.314788055E1,-8.271408081E0,-4.029284668E1,4.318328899E1
1.862599125E0,1.313719940E1,-8.254219055E0,-4.042321777E1,4.329843733E1
1.872643125E0,1.304446411E1,-8.274192810E0,-4.006597900E1,4.294069147E1
1.882688125E0,1.294743347E1,-8.298042297E0,-3.991613770E1,4.277606326E1
1.892732000E0,1.297026825E1,-8.245811462E0,-4.033544922E1,4.316444983E1
1.902776000E0,1.287115479E1,-8.296630859E0,-4.026251221E1,4.307633455E1
1.912821000E0,1.280072403E1,-8.287582397E0,-4.068054199E1,4.344478167E1
1.922865000E0,1.242643356E1,-8.201499939E0,-4.015679932E1,4.282813776E1
1.932909000E0,1.255807304E1,-8.210838318E0,-4.007427979E1,4.279101500E1
1.942954000E0,1.246521187E1,-8.202865601E0,-4.060839844E1,4.326327004E1
1.952998000E0,1.244878197E1,-8.239860535E0,-4.026190186E1,4.294051950E1
1.963042000E0,1.230529785E1,-8.240257263E0,-4.075891113E1,4.336601240E1
1.973086000E0,1.213713646E1,-8.315429688E0,-4.054620361E1,4.313294657E1
1.983131000E0,1.215046120E1,-8.357719421E0,-4.024328613E1,4.286032268E1
1.993175000E0,1.191497421E1,-8.276214600E0,-4.059429932E1,4.310869374E1
2.003219000E0,1.190461540E1,-8.346221924E0,-4.044439697E1,4.297823327E1
2.013264000E0,1.181738281E1,-8.219764709E0,-4.056207275E1,4.304064143E1
2.023308000E0,1.181738281E1,-8.219764709E0,-4.056207275E1,4.304064143E1
2.033352000E0,1.166489410E1,-8.233062744E0,-4.084240723E1,4.326609879E1
2.043397000E0,1.151151466E1,-8.194282532E0,-4.039477539E1,4.279484916E1
2.053441000E0,1.136402893E1,-8.073944092E0,-4.073315430E1,4.305252125E1
2.063485000E0,1.103500557E1,-8.054573059E0,-4.065081787E1,4.288515464E1
2.073529000E0,1.095368767E1,-8.060966492E0,-4.043566895E1,4.266152573E1
2.083574000E0,1.083417511E1,-8.150016785E0,-4.114178467E1,4.331799360E1
2.093618000E0,1.064782715E1,-8.173614502E0,-4.097021484E1,4.311313838E1
2.103662000E0,1.048731232E1,-8.320808411E0,-4.099072266E1,4.312144381E1
2.113707000E0,1.014827156E1,-8.458702087E0,-4.104248047E1,4.311638041E1
2.123751000E0,9.879959106E0,-8.408653259E0,-4.092083740E1,4.292824216E1
2.133795000E0,9.680801392E0,-8.345878601E0,-4.119927979E1,4.313643773E1
2.143840000E0,9.344718933E0,-8.478324890E0,-4.096887207E1,4.286786959E1
2.153884000E0,9.192703247E0,-8.410995483E0,-4.113616943E1,4.298179933E1
2.163928000E0,9.147624969E0,-8.312690735E0,-4.132220459E1,4.313124693E1
2.173972000E0,8.956460953E0,-8.230392456E0,-4.067498779E1,4.245482522E1
2.184017000E0,8.911813736E0,-8.173896790E0,-4.116510010E1,4.290452749E1
2.194061000E0,8.609182358E0,-8.206314087E0,-4.100732422E1,4.269733307E1
2.204105000E0,8.392162323E0,-8.178527832E0,-4.077496338E1,4.242539740E1
2.214150000E0,8.287332535E0,-8.139701843E0,-4.152783203E1,4.312186754E1
2.224194000E0,8.071477890E0,-8.268959045E0,-4.130255127E1,4.288852038E1
2.234238000E0,7.748209000E0,-8.261489868E0,-4.144836426E1,4.296805624E1
2.244283000E0,7.699567795E0,-8.245468140E0,-4.157836914E1,4.308168833E1
2.254327000E0,7.471466064E0,-8.181365967E0,-4.113604736E1,4.260201811E1
2.264371000E0,7.151832581E0,-8.208129883E0,-4.158270264E1,4.298422111E1
2.274415000E0,6.902456284E0,-8.231460571E0,-4.120574951E1,4.258303229E1
2.284460000E0,6.769367218E0,-8.096855164E0,-4.125958252E1,4.258798593E1
2.294504000E0,6.598455429E0,-8.062377930E0,-4.168890381E1,4.297099315E1
2.304548000E0,6.486030579E0,-8.119422913E0,-4.132641602E1,4.261298255E1
2.314593000E0,6.108411789E0,-8.023559570E0,-4.158465576E1,4.278987962E1
2.324637000E0,5.908800125E0,-8.033592224E0,-4.129229736E1,4.247948145E1
2.334681000E0,5.621181488E0,-7.901473999E0,-4.127697754E1,4.240070574E1
2.344726000E0,5.502012253E0,-7.940040588E0,-4.158148193E1,4.268882785E1
2.354770000E0,5.346477509E0,-7.874183655E0,-4.144195557E1,4.252085690E1
2.364814000E0,5.041200638E0,-7.760406494E0,-4.149603271E1,4.251538949E1
2.374858000E0,4.868505478E0,-7.850799561E0,-4.177868652E1,4.278780255E1
2.384903000E0,4.690120697E0,-7.761459351E0,-4.117785645E1,4.216459824E1
2.394947000E0,4.108797073E0,-7.855323792E0,-4.145965576E1,4.239683221E1
2.404991000E0,3.849637985E0,-7.777252197E0,-4.130169678E1,4.220350129E1
2.415036000E0,3.649023056E0,-7.768142700E0,-4.151684570E1,4.239466815E1
2.425080000E0,3.353313446E0,-7.727813721E0,-4.174029541E1,4.258187498E1
2.435124000E0,3.310443878E0,-7.560783386E0,-4.162854004E1,4.243889525E1
2.445169000E0,3.263093948E0,-7.528533936E0,-4.184515381E1,4.264203915E1
2.455213000E0,3.010446548E0,-7.536994934E0,-4.179534912E1,4.257605300E1
2.465257000E0,2.746639252E0,-7.384132385E0,-4.167309570E1,4.241127614E1
2.475301000E0,2.487188339E0,-7.330642700E0,-4.198211670E1,4.268984131E1
2.485346000E0,2.255516052E0,-7.248878479E0,-4.160900879E1,4.229590056E1
2.495390000E0,1.921701431E0,-7.168930054E0,-4.190063477E1,4.255290458E1
2.505434000E0,1.736932755E0,-7.064041138E0,-4.195489502E1,4.258087398E1
2.515479000E0,1.759132385E0,-7.049102783E0,-4.196307373E1,4.258736848E1
2.525523000E0,1.419946671E0,-7.074737549E0,-4.158868408E1,4.221003203E1
2.535567000E0,1.312135696E0,-7.091697693E0,-4.181628418E1,4.243365997E1
2.545612000E0,9.875259399E-1,-7.145851135E0,-4.151647949E1,4.213853896E1
2.555656000E0,5.710906982E-1,-7.029945374E0,-4.164123535E1,4.223433151E1
2.565700000E0,3.737354279E-1,-6.890502930E0,-4.188293457E1,4.244760202E1
2.575744000E0,1.083164215E-1,-6.910278320E0,-4.141809082E1,4.199073619E1
2.585789000E0,3.848457336E-2,-7.005218506E0,-4.180816650E1,4.239100558E1
2.595833000E0,-4.225368500E-1,-6.889495850E0,-4.143682861E1,4.200779042E1
2.605877000E0,-4.418029785E-1,-6.911697388E0,-4.121374512E1,4.179162042E1
2.615922000E0,-6.831054688E-1,-6.862670898E0,-4.184844971E1,4.241291817E1
2.625966000E0,-9.364032745E-1,-6.939247131E0,-4.148797607E1,4.207472116E1
2.636010000E0,-1.045085907E0,-7.024017334E0,-4.180541992E1,4.240427053E1
2.646055000E0,-1.136184692E0,-6.883087158E0,-4.204333496E1,4.261818648E1
2.656099000E0,-1.484067917E0,-6.896659851E0,-4.145477295E1,4.205073810E1
2.666143000E0,-1.756795883E0,-6.767097473E0,-4.176977539E1,4.235084505E1
2.676187000E0,-1.862819672E0,-6.748168945E0,-4.139721680E1,4.198496683E1
2.686232000E0,-2.083881378E0,-6.707077026E0,-4.150909424E1,4.209907776E1
2.696276000E0,-2.151660919E0,-6.727096558E0,-4.181378174E1,4.240608230E1
2.706320000E0,-2.381784439E0,-6.709175110E0,-4.155255127E1,4.215804128E1
2.716365000E0,-2.647806168E0,-6.776519775E0,-4.173577881E1,4.236516648E1
2.726409000E0,-2.606273651E0,-6.807388306E0,-4.137030029E1,4.200755818E1
2.736453000E0,-2.693550110E0,-6.900878906E0,-4.134808350E1,4.200644416E1
2.746498000E0,-2.805456161E0,-6.761573792E0,-4.170672607E1,4.234430852E1
2.756542000E0,-3.131000519E0,-6.860954285E0,-4.136291504E1,4.204481655E1
2.766586000E0,-3.149806976E0,-6.800773621E0,-4.150781250E1,4.217902683E1
2.776630000E0,-3.024374008E0,-6.819976807E0,-4.168164062E1,4.234404429E1
2.786675000E0,-2.996850967E0,-6.838783264E0,-4.130627441E1,4.197568794E1
2.796719000E0,-2.987173080E0,-6.740188599E0,-4.172058105E1,4.236697097E1
2.806763000E0,-3.135429382E0,-6.815917969E0,-4.147833252E1,4.215139053E1
2.816808000E0,-2.962242126E0,-6.784942627E0,-4.164001465E1,4.229303896E1
2.826852000E0,-2.690549850E0,-6.738853455E0,-4.169757080E1,4.232420838E1
2.836896000E0,-2.827104568E0,-6.900161743E0,-4.142834473E1,4.209409102E1
2.846941000E0,-2.716464996E0,-6.906684875E0,-4.156433105E1,4.222173722E1
2.856985000E0,-2.679843903E0,-7.043701172E0,-4.125836182E1,4.194100272E1
2.867029000E0,-2.582071304E0,-7.227561951E0,-4.115289307E1,4.186245754E1
2.877073000E0,-2.485473633E0,-7.222930908E0,-4.162622070E1,4.232127786E1
2.887118000E0,-2.417493820E0,-7.276039124E0,-4.149713135E1,4.219948971E1
2.897162042E0,-2.237298965E0,-7.232383728E0,-4.188671875E1,4.256536255E1
2.907206041E0,-2.056921005E0,-7.208480835E0,-4.193218994E1,4.259696789E1
2.917251042E0,-1.953395844E0,-7.232666016E0,-4.164141846E1,4.230998634E1
2.927295041E0,-1.738309860E0,-7.110267639E0,-4.178613281E1,4.242238233E1
2.937339041E0,-1.626960754E0,-7.067001343E0,-4.157073975E1,4.219852974E1
2.947383041E0,-1.499940872E0,-6.958160400E0,-4.182946777E1,4.243076941E1
2.957428041E0,-1.533651352E0,-6.961029053E0,-4.203955078E1,4.263955724E1
2.967472041E0,-1.518445969E0,-7.125282288E0,-4.166711426E1,4.229921674E1
2.977516042E0,-1.444898605E0,-7.059432983E0,-4.186865234E1,4.248420148E1
2.987561041E0,-1.397222519E0,-7.108726501E0,-4.168060303E1,4.230554210E1
2.997605042E0,-1.397222519E0,-7.108726501E0,-4.168060303E1,4.230554210E1
3.007649042E0,-1.303087234E0,-7.333618164E0,-4.151818848E1,4.218103799E1
3.017694042E0,-1.023082733E0,-7.434837341E0,-4.192346191E1,4.258990683E1
3.027738042E0,-7.546539307E-1,-7.341606140E0,-4.181665039E1,4.246293599E1
3.037782041E0,-5.146579742E-1,-7.280250549E0,-4.221911621E1,4.284531123E1
3.047826041E0,-6.026592255E-1,-7.199623108E0,-4.230364990E1,4.291615740E1
3.057871041E0,-3.107147217E-1,-7.093856812E0,-4.171777344E1,4.231775004E1
3.067915041E0,-1.824550629E-1,-7.131423950E0,-4.201165771E1,4.261302479E1
3.077959042E0,1.762123108E-1,-7.079536438E0,-4.169787598E1,4.229496126E1
3.088004041E0,1.975936890E-1,-6.913772583E0,-4.180236816E1,4.237071251E1
3.098048042E0,2.761669159E-1,-6.964141846E0,-4.207739258E1,4.265070346E1
3.108092042E0,5.685482025E-1,-7.002655029E0,-4.169952393E1,4.228724063E1
3.118136041E0,7.874488831E-1,-6.908348083E0,-4.177178955E1,4.234651994E1
3.128181042E0,1.119600296E0,-6.931129456E0,-4.172399902E1,4.231059152E1
3.138225041E0,1.258918762E0,-6.828903198E0,-4.164367676E1,4.221865239E1
3.148269041E0,1.498746872E0,-6.739868164E0,-4.214648438E1,4.270829205E1
3.158314041E0,1.859945297E0,-6.712860107E0,-4.204699707E1,4.262008740E1
3.168358041E0,2.156341553E0,-6.604095459E0,-4.222711182E1,4.279477606E1
3.178402042E0,2.407533646E0,-6.651489258E0,-4.236877441E1,4.295522754E1
3.188447041E0,2.763484955E0,-6.618728638E0,-4.169897461E1,4.231133301E1
3.198491042E0,3.248106003E0,-6.616935730E0,-4.244274902E1,4.307807999E1
3.208535042E0,3.385667801E0,-6.579872131E0,-4.203942871E1,4.268572396E1
3.218579041E0,3.681829453E0,-6.381431580E0,-4.237536621E1,4.301104740E1
3.228624042E0,4.038631439E0,-6.169937134E0,-4.241339111E1,4.304967380E1
3.238668041E0,4.212917328E0,-5.879951477E0,-4.198480225E1,4.260335810E1
3.248712041E0,4.609245300E0,-5.732452393E0,-4.233160400E1,4.296592662E1
3.258757041E0,5.251195908E0,-5.620933533E0,-4.220184326E1,4.289715057E1
