"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.953342916E0,8.200460434E0,-1.384156418E1,-4.239471436E1,4.534477098E1
1.963387917E0,8.106681824E0,-1.380302811E1,-4.225585938E1,4.518627587E1
1.973431916E0,7.870000839E0,-1.383174896E1,-4.279846191E1,4.566138998E1
1.983475917E0,7.870000839E0,-1.383174896E1,-4.279846191E1,4.566138998E1
1.993519917E0,8.032016754E0,-1.384156418E1,-4.244171143E1,4.535858310E1
2.003563917E0,8.040128708E0,-1.377210236E1,-4.272735596E1,4.560637477E1
2.013608917E0,7.886219025E0,-1.374285126E1,-4.252807617E1,4.538387020E1
2.023652917E0,7.801643372E0,-1.362152100E1,-4.197308350E1,4.481240020E1
2.033696916E0,7.610164642E0,-1.350919342E1,-4.253979492E1,4.527744543E1
2.043740917E0,7.779903412E0,-1.343569946E1,-4.236816406E1,4.512323396E1
2.053784917E0,7.756649017E0,-1.346128845E1,-4.244726562E1,4.520113107E1
2.063829917E0,7.657855988E0,-1.345744324E1,-4.280334473E1,4.551781911E1
2.073873917E0,7.615917206E0,-1.332537842E1,-4.239624023E1,4.508890208E1
2.083917917E0,7.710817337E0,-1.317134094E1,-4.276983643E1,4.541145047E1
2.093961916E0,7.632497787E0,-1.311302185E1,-4.225915527E1,4.490036268E1
2.104005917E0,7.572841644E0,-1.302376556E1,-4.207885742E1,4.469448111E1
2.114049917E0,7.672641754E0,-1.289268494E1,-4.243493652E1,4.500905014E1
2.124094917E0,7.687673569E0,-1.296788025E1,-4.234027100E1,4.494401841E1
2.134138917E0,7.773494720E0,-1.292294312E1,-4.260986328E1,4.519989079E1
2.144182917E0,7.822477341E0,-1.279536438E1,-4.265441895E1,4.521406813E1
2.154226916E0,7.779933929E0,-1.281858063E1,-4.225396729E1,4.483571269E1
2.164270916E0,7.951389313E0,-1.272406769E1,-4.255529785E1,4.512294168E1
2.174315916E0,7.903415680E0,-1.264868927E1,-4.253436279E1,4.507355475E1
2.184359916E0,7.878070831E0,-1.262047577E1,-4.260821533E1,4.513092534E1
2.194403917E0,7.891511917E0,-1.263959503E1,-4.285656738E1,4.537312741E1
2.204447917E0,7.968736649E0,-1.252362823E1,-4.231652832E1,4.484451580E1
2.214491917E0,8.019969940E0,-1.233526611E1,-4.257373047E1,4.504443622E1
2.224536917E0,8.024574280E0,-1.240422058E1,-4.231860352E1,4.482323822E1
